raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
16.5,22.9,15.9,3.5,-0.666667,19.1,7.2,11.7,25.1,-5.88889,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
19.8,9.7,-3.33333,14,-1.66667,-100,22.8,19.6,10.9,22.6,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
24.7,-0.555556,0,8.3,22.8,-5.22222,28.1,11,15.6,12.2,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
17.2,-0.333333,-8.77778,-3.33333,20.6,14.9,22.8,10.7,0.1,5.3,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
-10.6667,6.9,-9,12.8,26,-2.33333,-3.88889,-18.1111,8,1.8,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
18.9,21.4,31.4,3,-7,1.5,5.3,24.2,31.3,10.8,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
-0.888889,20.6,25,30.3,19.4,-95.5556,7.2,21,-8.22222,18.5,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
21.2,37.3,28.1,10.4,4.9,23.3,-6.44444,16,18.7,16.5,,37.8,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.25,4.015034246
25,-1.11111,-17.8889,19.2,-17.8889,12,-15.6667,5.6,7.8,5.4,,37.8,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.25,4.015034246
9.9,26.5,-12.8889,22.2,31.8,22,12.1,-1.11111,23.6,-9.22222,,37.8,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.25,4.015034246
20.7,17.6,29.8,13.3,-3.66667,-0.111111,-3.44444,-5.66667,16.7,-0.222222,,37.8,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.25,4.015034246
19.4,-9.11111,19.2,19.6,14.7,12.3,17.4,20.8,-0.888889,4.8,,37.8,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.25,4.015034246
22.9,20.1,24.1,10.9,0,10.7,5.7,14.1,16.3,-0.888889,,37.8,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.25,4.015034246
39.3,-37.4444,14.1,-4.77778,9.1,-13,8.5,5.2,28,22.4,,39.3,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.4,4.133763418
16.2,-10,8.2,9.8,24.1,8.8,4.1,-0.222222,26,12.6,,39.3,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.4,4.133763418
-0.888889,-89,28.4,21.3,4.9,-11.2222,28.2,2.8,27.3,18.9,,39.3,37.3,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,35.4,4.133763418
23.8,17.8,19.7,47.9,0.1,-36.7778,5.1,19.2,20.1,-14.2222,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,31.5,,36.71,5.564251971
-1.11111,6.8,8.2,39.2,-2,-1.22222,-1.55556,0,30.1,-48.6667,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,31.5,,36.71,5.564251971
-0.777778,12.9,-3.88889,-2.77778,-7.55556,-4.11111,-3.22222,-1.77778,26.6,29.6,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,31.5,,36.71,5.564251971
8.5,-8.44444,-0.444444,-8.77778,28.9,0,23.9,2.2,27.3,25.1,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,31.5,,36.71,5.564251971
-3.55556,2.5,-11,-16.3333,31.8,1.2,24.1,-2.22222,-6.55556,-11.2222,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,31.5,,36.71,5.564251971
35.2,16.6,40,12.8,28.6,15.9,8.9,4.6,5.1,2.4,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,31.5,,36.71,5.564251971
20.4,3.5,29.8,17.3,24.2,0,21.9,6,18.4,-9,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,31.5,,36.71,5.564251971
-0.555556,34.9,21,-0.777778,32.4,20.4,25.8,14.4,16.4,15,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,31.5,,36.71,5.564251971
-8.88889,26,18,3.1,7.1,0.6,9.1,-12.4444,10.9,33.4,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,33.4,,36.9,5.413501639
28.6,-16.6667,-2.88889,-3.55556,26.2,6.4,5.4,0,21.5,-6.22222,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,33.4,,36.9,5.413501639
36.7,-11.7778,33.1,0,-0.333333,25.7,7.5,11.2,19.7,-6,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,33.4,,36.9,5.413501639
15.3,18.4,35.6,-7.22222,31,16.4,25.2,3.2,-7.66667,-0.888889,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,36.5,33.4,,36.9,5.413501639
20,5.7,-1.44444,0,-2,-1.66667,-2,13.2,43.3,32.2,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
-4.11111,20.2,10.3,0,-0.888889,24.5,-2.44444,13.5,-1.11111,30.6,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
24.5,20.2,29.1,-8,11,10.8,9.3,28.1,8,21.5,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
-0.555556,25.4,-1.11111,11.9,8.9,0,23.5,22.7,1.8,21.5,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
