raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
-100,-100,-83.5556,-66.3333,-4.11111,-51.1111,-6.33333,-81.5556,-11.3333,-100,,36,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,33.92,7.701630419
-100,-100,-100,-94.8889,-100,-100,-84,-100,-30.8889,-100,,36,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,33.92,7.701630419
-100,24.6,-58.1111,-100,-100,-61.3333,-100,19.2,-69.2222,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-57.8889,-100,-18.7778,-100,-55.2222,-33.2222,40.5,-100,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-28.7778,-45.5556,-100,-100,-100,-57.8889,-100,-100,-29.4444,-1.55556,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,0,-100,-12.7778,-100,-100,-100,-11.3333,-64.4444,-20.3333,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-7.77778,-76.7778,-7.88889,23.6,-100,-100,-100,-11.8889,-21.1111,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,15.8,-100,0,-100,-18.2222,-85.1111,-28.4444,-84,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-71.6667,-16.4444,-9,-100,-100,-100,-8.33333,-14,-100,-17.7778,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,-66.7778,-100,-77.8889,-100,-100,-100,-100,-11,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,-100,-100,-100,-100,-100,-52.3333,-84.2222,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-84.1111,-89,-65,-100,-18.3333,-100,-100,-39.2222,-94.7778,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-94.2222,-53.5556,-84.4444,-38.6667,-100,-4.66667,-100,-81.6667,-2.22222,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-98.5556,-100,-11,-100,-100,-100,-69,-100,-100,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-17.7778,-37.1111,-100,-100,-100,-100,-20.8889,-100,-19.2222,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,-100,-34.1111,-2.88889,-94.1111,-100,-11.8889,-46.2222,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-16.4444,-89.3333,-100,-100,-100,3.6,-100,-27.5556,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,-3.22222,-53.7778,-100,-88.7778,-100,-12.4444,-22.8889,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-5.77778,-100,-100,22.3,-100,-70.1111,8.8,-100,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-5.88889,-3.44444,-100,-79.5556,-100,3.6,-1.77778,-23.2222,-21,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
